CustomerSK,Recency,Frequency,Monetary,Segment,SegmentName
6,788,1,428558.16,0,Inactive Customers
7,761,1,361370.17,0,Inactive Customers
10,642,1,408921.9,3,Potential Returning Customers
11,73,3,1439024.82,1,VIP Customers
12,1036,2,819356.55,2,Loyal Customers
13,1173,1,572156.28,0,Inactive Customers
14,186,1,377388.67,3,Potential Returning Customers
16,671,2,683643.25,2,Loyal Customers
17,783,1,361653.54,0,Inactive Customers
19,1056,1,577390.37,0,Inactive Customers
25,168,1,305844.41,3,Potential Returning Customers
26,361,1,423306.76,3,Potential Returning Customers
28,267,1,352215.36,3,Potential Returning Customers
29,1292,1,459162.08,0,Inactive Customers
31,994,1,414827.64,0,Inactive Customers
33,666,1,446748.6,3,Potential Returning Customers
38,79,2,779769.48,2,Loyal Customers
39,28,2,515386.36,2,Loyal Customers
43,139,2,814901.02,2,Loyal Customers
44,1328,1,471120.1,0,Inactive Customers
46,781,1,355612.54,0,Inactive Customers
49,503,3,1039114.87,1,VIP Customers
50,934,1,320536.15,0,Inactive Customers
52,869,1,249786.48,0,Inactive Customers
53,562,1,519257.83,3,Potential Returning Customers
55,1005,1,299763.42,0,Inactive Customers
57,514,1,468851.39,3,Potential Returning Customers
62,24,2,839231.84,2,Loyal Customers
64,1026,1,223402.38,0,Inactive Customers
67,338,1,233522.6,3,Potential Returning Customers
68,1230,1,532296.26,0,Inactive Customers
71,96,1,317402.87,3,Potential Returning Customers
73,24,1,464814.69,3,Potential Returning Customers
74,568,3,1455414.85,1,VIP Customers
76,626,2,641984.63,2,Loyal Customers
77,310,3,1566513.01,1,VIP Customers
79,202,1,387457.46,3,Potential Returning Customers
80,822,1,272192.42,0,Inactive Customers
82,365,2,744559.43,2,Loyal Customers
83,1269,1,531495.08,0,Inactive Customers
84,926,1,444279.35,0,Inactive Customers
86,511,1,621902.29,3,Potential Returning Customers
87,277,1,446539.19,3,Potential Returning Customers
89,541,1,346432.61,3,Potential Returning Customers
90,1162,1,494325.74,0,Inactive Customers
92,1167,1,496807.89,0,Inactive Customers
93,543,1,616674.49,3,Potential Returning Customers
95,637,1,450854.11,3,Potential Returning Customers
101,468,1,317414.39,3,Potential Returning Customers
103,758,1,557948.38,0,Inactive Customers
104,610,2,567952.8,2,Loyal Customers
105,454,1,455462.89,3,Potential Returning Customers
107,19,1,655169.99,3,Potential Returning Customers
108,583,2,912336.64,2,Loyal Customers
109,433,2,926977.55,2,Loyal Customers
110,840,1,246358.83,0,Inactive Customers
